rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
500,0.9,1.2,1.0,concat,1.0,1.0,0.5381944444444444,0.3842592592592593,0.5298428417971834
500,0.9,1.2,100.0,final,0.6979166666666666,0.5972222222222222,0.3854166666666667,0.18055555555555558,0.38104103670683653
500,0.9,1.2,100.0,mean,0.6736111111111112,0.5648148148148149,0.59375,0.45833333333333337,0.5454807279746533
500,0.9,1.2,100.0,concat,0.8472222222222222,0.7962962962962963,0.6041666666666666,0.4722222222222222,0.5809287960467207
500,0.9,1.2,10000.0,final,0.4409722222222222,0.25462962962962965,0.4375,0.25,0.39339507447796573
500,0.9,1.2,10000.0,mean,0.5972222222222222,0.4629629629629629,0.5798611111111112,0.43981481481481477,0.5188623060447016
500,0.9,1.2,10000.0,concat,0.5520833333333334,0.4027777777777778,0.5104166666666666,0.3472222222222222,0.46390474801407994
500,0.9,1.5,1.0,final,1.0,1.0,0.3645833333333333,0.1527777777777778,0.3645772437124385
500,0.9,1.5,1.0,mean,0.8125,0.75,0.6319444444444444,0.5092592592592593,0.6105873293540154
500,0.9,1.5,1.0,concat,1.0,1.0,0.4826388888888889,0.31018518518518523,0.47500650049493154
500,0.9,1.5,100.0,final,0.8298611111111112,0.7731481481481481,0.3993055555555556,0.19907407407407407,0.39656594478955437
500,0.9,1.5,100.0,mean,0.6805555555555556,0.5740740740740741,0.6111111111111112,0.4814814814814815,0.5648785525202921
500,0.9,1.5,100.0,concat,0.9166666666666666,0.8888888888888888,0.6006944444444444,0.46759259259259256,0.5821216621173354
500,0.9,1.5,10000.0,final,0.4618055555555556,0.28240740740740744,0.4479166666666667,0.26388888888888884,0.4020700705824676
500,0.9,1.5,10000.0,mean,0.5833333333333334,0.4444444444444444,0.5729166666666666,0.4305555555555556,0.5026180187284905
500,0.9,1.5,10000.0,concat,0.5590277777777778,0.4120370370370371,0.53125,0.375,0.4784627810548839
500,0.9,2.0,1.0,final,1.0,1.0,0.2951388888888889,0.06018518518518523,0.29163037666123703
500,0.9,2.0,1.0,mean,0.84375,0.7916666666666666,0.6145833333333334,0.48611111111111116,0.5872463817306661
500,0.9,2.0,1.0,concat,1.0,1.0,0.5173611111111112,0.3564814814814815,0.500264994140833
500,0.9,2.0,100.0,final,0.9270833333333334,0.9027777777777778,0.3993055555555556,0.19907407407407407,0.3975752548119707
500,0.9,2.0,100.0,mean,0.6805555555555556,0.5740740740740741,0.6041666666666666,0.4722222222222222,0.5556338226990402
500,0.9,2.0,100.0,concat,0.9756944444444444,0.9675925925925926,0.5763888888888888,0.43518518518518523,0.5534820826639354
500,0.9,2.0,10000.0,final,0.5243055555555556,0.3657407407407407,0.4513888888888889,0.2685185185185185,0.40445372321852197
500,0.9,2.0,10000.0,mean,0.5868055555555556,0.44907407407407407,0.5729166666666666,0.4305555555555556,0.5038587307938773
500,0.9,2.0,10000.0,concat,0.6215277777777778,0.49537037037037035,0.5625,0.41666666666666663,0.5165808606450404
1000,0.3,0.7,1.0,final,0.8159722222222222,0.7546296296296297,0.3993055555555556,0.19907407407407407,0.3991834322381435
